Order_ID,Customer_ID,Product_Name,Category,Price,Quantity,Discount_Percent,Final_Amount,Rating,Recommendation_Score,Payment_Method,City,Order_Date
ORD0001,CUST3604,Student Product,Sports,461.85,3,17,1150.01,2,0.82,Net Banking,Madurai,5/19/2026
ORD0002,CUST6399,Cut Product,Sports,152.68,2,38,189.32,2.2,0.48,Debit Card,Hyderabad,4/6/2026
ORD0003,CUST9280,Including Product,Sports,2509.83,1,6,2359.24,1.4,0.95,UPI,Hyderabad,2/2/2026
ORD0004,CUST4185,Government Product,Home,2358.35,4,39,5754.37,2.9,0.73,Credit Card,Chennai,12/22/2025
ORD0005,CUST9588,Live Product,Sports,503.45,1,33,337.31,4.5,0.18,Cash on Delivery,Chennai,12/20/2025
ORD0006,CUST4986,Common Product,Electronics,4624.51,1,1,4578.26,2.9,0.43,Net Banking,Madurai,6/27/2025
ORD0007,CUST5645,Program Product,Fashion,2299.45,1,25,1724.59,4,0.44,Net Banking,Delhi,6/13/2025
ORD0008,CUST4034,Best Product,Sports,4375.56,1,24,3325.43,1.5,0.31,Cash on Delivery,Mumbai,10/21/2025
ORD0009,CUST7036,Product Product,Sports,4402.98,5,1,21794.75,4.9,0.16,Debit Card,Delhi,6/6/2025
ORD0010,CUST2512,Most Product,Fashion,2077.56,3,5,5921.05,3.3,0.39,Debit Card,Chennai,11/7/2025
ORD0011,CUST8356,Buy Product,Beauty,4331.73,1,16,3638.65,4.1,0.15,Cash on Delivery,Hyderabad,8/21/2025
ORD0012,CUST6659,Lose Product,Home,1483.43,5,9,6749.61,4,0.58,Debit Card,Delhi,5/13/2026
ORD0013,CUST7829,Answer Product,Beauty,4660.67,1,23,3588.72,4.2,0.18,Debit Card,Mumbai,1/27/2026
ORD0014,CUST9820,Because Product,Electronics,3059.91,4,3,11872.45,1,0.78,Debit Card,Hyderabad,10/7/2025
ORD0015,CUST1273,Start Product,Beauty,1287.63,4,19,4171.92,4.5,0.57,UPI,Mumbai,2/28/2026
ORD0016,CUST7751,Catch Product,Electronics,1514.78,4,25,4544.34,1,0.75,Cash on Delivery,Chennai,1/13/2026
ORD0017,CUST9590,Top Product,Books,2991.45,2,9,5444.44,1.4,0.09,Cash on Delivery,Hyderabad,1/9/2026
ORD0018,CUST4624,Note Product,Electronics,3559.38,3,13,9289.98,3.9,0.18,Credit Card,Madurai,8/6/2025
ORD0019,CUST7685,Rest Product,Electronics,452.52,3,34,895.99,4.6,0.37,Debit Card,Hyderabad,9/30/2025
ORD0020,CUST5277,Business Product,Sports,117.09,1,17,97.18,4.8,0.33,Cash on Delivery,Bangalore,9/30/2025
