S_id,Area,City,Restaurant,Price,Avg_rating,Total_rating,Food_type,Address,Delivery_time
1,Koramangala,Bangalore,Tandoor Hut,300,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59
2,Koramangala,Bangalore,Tunday Kababi,300,4.1,100,"Mughlai,Lucknowi",5Th Block,56
3,Jogupalya,Bangalore,Kim Lee,650,4.4,100,Chinese,Double Road,50
4,Indiranagar,Bangalore,New Punjabi Hotel,250,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57
5,Indiranagar,Bangalore,Nh8,350,4,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63
6,Indiranagar,Bangalore,Treat,800,4.5,100,"Mughlai,North Indian",100 Feet Road,56
7,Indiranagar,Bangalore,Chinita Real Mexican Food,1000,4.5,500,"Mexican,Beverages,Salads",Double Road,53
8,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57
9,Domlur,Bangalore,Tea Brew,350,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57
10,Koramangala,Bangalore,Bangaliana,300,4,500,Bengali,7Th Block,57
11,Koramangala,Bangalore,Bamey'S Restro Cafe,400,4.4,100,"Chinese,Thai,Nepalese",5Th Block,56
12,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,"North Indian,Chinese",Cooke Town,55
13,Pulikeshi Nagar,Bangalore,Chichabas Taj,532,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54
14,Sivanchetti Gardens,Bangalore,Urban Solace,500,2.9,80,"American,Continental",Ulsoor Lake,48
15,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59
16,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290,4.3,100,"Mughlai,North Indian",7Th Block,52
17,Domlur,Bangalore,Kerala Pavilion,300,4.1,100,"Kerala,Seafood",Domlur Layout,55
18,Indiranagar,Bangalore,Kitchen Of Joy,250,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55
19,Jayanagar,Bangalore,Nagarjuna Chimney,800,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48
20,Film Nagar,Hyderabad,So. The Sky Kitchen,800,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90
21,Indiranagar,Bangalore,Esplanade,1200,4.3,100,"Mughlai,Bengali",I Indirangar,54
22,Banashankari,Bangalore,Hotel New Karavali,250,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,53
23,Masab Tank,Hyderabad,Dine Hill,400,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49
24,Banjara Hills,Hyderabad,Sarvi Restaurant,400,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56
25,Banjara Hills,Hyderabad,Sarvi Bakery,250,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58
26,Andheri East,Mumbai,Kung Fu Panda,600,4.3,100,Chinese  Thai  Asian,Marol,58
27,Powai,Mumbai,Kosho,300,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56
28,Punjagutta,Hyderabad,Chinese Pavilion,850,4.3,500,"Chinese,Seafood",Nagarjuna Circle,64
29,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200,4.2,100,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69
30,Indiranagar,Bangalore,Mamagoto,900,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59
31,Powai,Mumbai,Hakka Express,300,4,100,"Chinese,Asian,Thai",Narayan Plaza,48
32,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200,4.3,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,57
33,Aundh,Pune,Juice Destination,200,4.2,500,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,60
34,Aundh,Pune,Hyderabadi Spice,400,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58
35,Aundh,Pune,Cafe Peterdonuts,400,4.1,50,"Continental,Desserts",Gaikwad Nagar,71
36,Baner,Pune,Karolbaug,750,4.1,50,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,72
37,Powai Area,Mumbai,The Punjabi'S Kitchen,500,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,65
38,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500,4.1,100,North Indian  South Indian,S P Road,66
39,Kalasiguda,Hyderabad,Bluefox,800,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,68
40,Aundh,Pune,Taaareef,1100,4.4,100,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67
41,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,1000,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57
42,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600,4.2,500,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,37
43,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500,4,1000,Chinese,New Mla Quarters,39
44,Himayatnagar,Hyderabad,Minerva Coffee Shop,500,4.3,1000,"South Indian,North Indian,Chinese",Himayath Nagar Road,30
45,Himayatnagar,Hyderabad,Bluefox,800,4.1,1000,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,36
46,Ashok Nagar,Bangalore,Art Of Delight,250,4.6,100,"Ice Cream,Desserts,Beverages",Residency Road,34
47,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300,4.3,50,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road,39
48,Richmond Town,Bangalore,Fanoos,300,4.2,500,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road,33
49,Richmond Town,Bangalore,In Wok,500,4.3,100,Chinese,Richmond,44
50,Ashok Nagar,Bangalore,Lakeview Milkbar,450,4.1,100,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road,31
51,Ashok Nagar,Bangalore,C Sharp Kitchen,300,2.9,80,"Chinese,Continental,Fast Food",Church Street,33
52,Ashok Nagar,Bangalore,Roomali,1000,4.4,100,"North Indian,Indian",Church Street,35
53,Ashok Nagar,Bangalore,Tadka Singh,300,4.2,100,"Punjabi,North Indian",Church Street,38
54,Ashok Nagar,Bangalore,Bheemas,550,4.3,100,Andhra,Church Street,31
55,Vasanth Nagar,Bangalore,Watson'S,450,2.9,80,Fast Food,1St Main Road,53
56,Andheri East,Mumbai,Sai Leela,500,4.2,20,"Mughlai,North Indian,Chinese,Seafood",Andheri East,63
57,Bhowanipore,Kolkata,Tandoori Darbar,500,4.4,100,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",Hazra Road,71
58,Ballygunge,Kolkata,Ballygunge Dhaba,500,4.3,500,"North Indian,Biryani,Chinese",Ballygunge,59
59,Gariahat,Kolkata,Tero Parbon,500,4.3,100,Bengali,Purna Das Road Hindustan Park,72
60,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700,4.3,100,"Continental,American,Cafe",Purnadas Road,76
61,Gariahat,Kolkata,Aminia Restaurant- Golpark,500,4.3,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Ballygunge Gardens,67
