Transaction_ID,Sale_Date,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Total_Sales,Stock_Received,Stock_Remaining,Store_Location
T0001,13-01-2025,Dairy,Cheese,15,408.95,6134.25,141,126,Coimbatore
T0002,15-03-2025,Frozen Foods,Frozen Pizza,17,169.68,2884.56,368,351,Chennai
T0003,11-01-2025,Bakery,Muffin,3,449.11,1347.33,457,454,Chennai
T0004,15-09-2025,Personal Care,Shampoo,11,191.39,2105.29,121,110,Madurai
T0005,19-02-2025,Bakery,Cookies,6,459.55,2757.3,269,263,Madurai
T0006,29-12-2025,Snacks,Nuts,3,464.66,1393.98,288,285,Salem
T0007,11-07-2025,Personal Care,Toothpaste,19,183.12,3479.28,364,345,Coimbatore
T0008,11-05-2025,Personal Care,Shampoo,14,137.4,1923.6,174,160,Trichy
T0009,24-10-2025,Groceries,Wheat Flour,5,456.64,2283.2,93,88,Trichy
T0010,11-06-2025,Groceries,Rice,5,98.83,494.15,192,187,Chennai
T0011,21-08-2025,Bakery,Cookies,14,428.13,5993.82,156,142,Chennai
T0012,23-11-2025,Beverages,Tea,3,108.21,324.63,179,176,Coimbatore
T0013,02-05-2025,Personal Care,Lotion,11,332.88,3661.68,183,172,Salem
T0014,28-07-2025,Personal Care,Lotion,17,322.02,5474.34,468,451,Salem
T0015,25-09-2025,Dairy,Butter,20,50.1,1002,242,222,Coimbatore
T0016,29-08-2025,Frozen Foods,Frozen Fries,19,241.78,4593.82,274,255,Coimbatore
T0017,18-12-2025,Snacks,Biscuits,6,139.25,835.5,292,286,Trichy
T0018,01-01-2025,Personal Care,Lotion,11,130.64,1437.04,415,404,Coimbatore
T0019,26-10-2025,Bakery,Cake,4,95.39,381.56,246,242,Madurai
T0020,10-11-2025,Personal Care,Toothpaste,6,338.74,2032.44,198,192,Coimbatore
T0021,31-08-2025,Personal Care,Lotion,14,367.07,5138.98,233,219,Chennai
T0022,10-09-2025,Dairy,Cheese,15,259.79,3896.85,383,368,Chennai
T0023,13-04-2025,Dairy,Cheese,1,144.77,144.77,492,491,Chennai
T0024,19-07-2025,Groceries,Wheat Flour,4,346.93,1387.72,394,390,Madurai
T0025,18-09-2025,Dairy,Cheese,15,480.12,7201.8,304,289,Salem
T0026,25-09-2025,Beverages,Juice,19,263.1,4998.9,94,75,Chennai
T0027,10-08-2025,Bakery,Cake,3,128.62,385.86,488,485,Salem
T0028,18-06-2025,Frozen Foods,Ice Cream,18,452.26,8140.68,279,261,Salem
T0029,08-05-2025,Bakery,Cake,1,409.72,409.72,309,308,Madurai
T0030,28-02-2025,Frozen Foods,Ice Cream,10,371.12,3711.2,148,138,Chennai
T0031,23-09-2025,Bakery,Cake,10,232.61,2326.1,429,419,Chennai
T0032,07-01-2025,Bakery,Bread,7,440.59,3084.13,483,476,Chennai
T0033,25-05-2025,Frozen Foods,Frozen Pizza,14,247.55,3465.7,384,370,Chennai
T0034,02-06-2025,Snacks,Nuts,19,109.9,2088.1,488,469,Chennai
